Date,F,JNJ,JPM,KO,WMT
2007-04-10,4.115418910980225,35.15481948852539,30.184091567993164,13.930569648742676,10.823193550109863
2007-04-11,4.085268974304199,35.28023910522461,30.128936767578125,13.80817699432373,10.671929359436035
2007-04-12,4.0651702880859375,35.297340393066406,30.159576416015625,13.816521644592285,10.669671058654785
2007-04-13,4.029995441436768,35.54244613647461,30.092153549194336,13.8749418258667,10.703539848327637
2007-04-16,4.035018444061279,35.92439270019531,30.631587982177734,13.98343276977539,10.8525390625
2007-04-17,3.944573163986206,36.79655456542969,30.760311126708984,14.345049858093262,10.875118255615234
2007-04-18,3.929497480392456,36.728153228759766,31.918899536132812,14.370077133178711,10.829965591430664
2007-04-19,3.8892977237701416,37.01888656616211,31.93114471435547,14.395112037658691,10.913497924804688
2007-04-20,3.894322395324707,37.12147903442383,32.20699691772461,14.489686012268066,11.234087944030762
2007-04-23,3.9345221519470215,36.910560607910156,32.04761505126953,14.367300033569336,11.0466947555542
2007-04-24,3.929497480392456,36.762351989746094,31.974061965942383,14.383983612060547,10.992518424987793
2007-04-25,3.9596469402313232,36.87065505981445,32.37862777709961,14.392329216003418,11.01960563659668
2007-04-26,4.120444297790527,36.619842529296875,32.45218276977539,14.486905097961426,10.994776725769043
2007-04-27,4.045070171356201,36.57994842529297,32.2131233215332,14.481352806091309,10.913497924804688
2007-04-30,4.040045261383057,36.608436584472656,31.937271118164062,14.51750373840332,10.818676948547363
2007-05-01,4.045070171356201,36.80226135253906,32.035343170166016,14.639896392822266,10.911239624023438
2007-05-02,4.105370044708252,36.75666046142578,32.2131233215332,14.662153244018555,10.89995288848877
2007-05-03,4.115418910980225,36.665435791015625,32.305084228515625,14.717787742614746,10.918017387390137
2007-05-04,4.130495071411133,36.75666046142578,32.26216125488281,14.80123233795166,10.897696495056152
2007-05-07,4.100344657897949,36.63124465942383,32.323463439941406,14.912495613098145,10.974455833435059
2007-05-08,4.205868721008301,36.312015533447266,32.15182876586914,14.762296676635742,10.859315872192383
2007-05-09,4.195818901062012,36.54574203491211,32.61157989501953,14.773416519165039,10.820938110351562
2007-05-10,4.140543460845947,35.62797546386719,31.87596893310547,14.59817886352539,10.780293464660645
2007-05-11,4.205868721008301,35.49684143066406,31.96792221069336,14.656588554382324,10.787073135375977
2007-05-14,4.376716136932373,35.69066619873047,31.771764755249023,14.631555557250977,10.800616264343262
2007-05-15,4.4772138595581055,35.240333557128906,31.894380569458008,14.592610359191895,10.750948905944824
2007-05-16,4.4018402099609375,35.94148635864258,32.476715087890625,14.670502662658691,10.70104694366455
2007-05-17,4.4018402099609375,35.764766693115234,32.21924591064453,14.520289421081543,10.685172080993652
2007-05-18,4.366665363311768,36.152408599853516,32.20699691772461,14.639896392822266,10.721461296081543
2007-05-21,4.411890506744385,36.209415435791016,32.21924591064453,14.439620018005371,10.574034690856934
2007-05-22,4.361642360687256,36.24362564086914,32.05374526977539,14.320001602172852,10.555887222290039
2007-05-23,4.4018402099609375,36.374717712402344,31.869842529296875,14.278286933898926,10.508256912231445
2007-05-24,4.266167163848877,36.423484802246094,31.624650955200195,14.253254890441895,10.58083724975586
2007-05-25,4.246068000793457,36.25710678100586,31.655315399169922,14.43405818939209,10.639811515808105
2007-05-29,4.220942497253418,36.1767692565918,31.765625,14.514729499816895,10.646615028381348
2007-05-30,4.271191120147705,36.2743034362793,31.912744522094727,14.75672435760498,10.687439918518066
2007-05-31,4.190793991088867,36.30299758911133,31.771764755249023,14.740041732788086,10.796307563781738
2007-06-01,4.195818901062012,36.38333511352539,31.814682006835938,14.687185287475586,11.220452308654785
2007-06-04,4.155620098114014,36.49235153198242,31.612382888793945,14.65102767944336,11.615105628967285
2007-06-05,4.175718307495117,36.325950622558594,31.3978328704834,14.553669929504395,11.458603858947754
2007-06-06,4.150594234466553,36.09070587158203,30.99325180053711,14.4646577835083,11.510773658752441
2007-06-07,4.050095081329346,35.57430648803711,30.53963279724121,14.292186737060547,11.286227226257324
2007-06-08,4.140543460845947,35.648887634277344,30.901315689086914,14.372856140136719,11.358810424804688
2007-06-11,4.220942497253418,35.72921371459961,30.913551330566406,14.361735343933105,11.297569274902344
2007-06-12,4.180743217468262,35.47676086425781,30.251516342163086,14.225431442260742,11.093437194824219
2007-06-13,4.3013434410095215,35.677589416503906,30.82773780822754,14.382246017456055,11.22725772857666
2007-06-14,4.351590633392334,35.832496643066406,30.846139907836914,14.368247032165527,11.177358627319336
2007-06-15,4.482239246368408,36.016109466552734,30.99325180053711,14.443851470947266,11.190964698791504
2007-06-18,4.447065353393555,35.76365280151367,30.913551330566406,14.494255065917969,11.138799667358398
2007-06-19,4.346564769744873,35.81528854370117,31.1710262298584,14.390644073486328,11.07075309753418
2007-06-20,4.452089309692383,35.597251892089844,30.3189640045166,14.41865348815918,11.020854949951172
2007-06-21,4.4772138595581055,35.637428283691406,30.551891326904297,14.586665153503418,10.975495338439941
2007-06-22,4.58776330947876,34.84559631347656,29.86534881591797,14.455045700073242,10.848479270935059
2007-06-25,4.5375142097473145,35.06364440917969,29.644655227661133,14.49705696105957,10.846208572387695
2007-06-26,4.5023393630981445,35.37348556518555,29.79176139831543,14.547457695007324,10.880228996276855
2007-06-27,4.663136959075928,35.25871658325195,30.184091567993164,14.68468189239502,10.99137020111084
2007-06-28,4.768661022186279,35.28741455078125,30.0124568939209,14.737875938415527,10.934664726257324
2007-06-29,4.733485698699951,35.35626983642578,29.699825286865234,14.648269653320312,10.911986351013184
2007-07-02,4.844036102294922,35.488224029541016,30.128936767578125,14.718277931213379,10.961885452270508
2007-07-03,4.733485698699951,35.545616149902344,30.48105812072754,14.813492774963379,10.99363899230957
2007-07-05,4.597811698913574,35.734962463378906,30.141267776489258,14.749080657958984,10.907449722290039
2007-07-06,4.577712535858154,35.648887634277344,30.252485275268555,14.729484558105469,10.975495338439941
2007-07-09,4.562640190124512,35.9874267578125,30.141267776489258,14.757484436035156,11.000442504882812
2007-07-10,4.567662239074707,35.68904495239258,29.35053825378418,14.58946704864502,10.79177188873291
2007-07-11,4.472189426422119,36.0677490234375,29.73354721069336,14.586665153503418,10.814458847045898
2007-07-12,4.5023393630981445,36.35462951660156,30.598438262939453,14.737875938415527,11.075288772583008
2007-07-13,4.507364273071289,36.394805908203125,30.919687271118164,14.872300148010254,11.147870063781738
2007-07-16,4.452089309692383,36.60710906982422,30.783767700195312,15.079517364501953,11.100238800048828
2007-07-17,4.38676643371582,35.99889373779297,30.839359283447266,14.889101028442383,10.966419219970703
