cell,seed,status,robust,epsilon,delta,log_return_pa,max_drawdown,volatility,down_deviation,sortino,sharpe,spx_log_return_pa,spx_max_drawdown,spx_volatility,spx_down_deviation,spx_sortino,spx_sharpe,eval_mean_log_return_pa,eval_mean_return_vol,eval_mean_downside_dev,eval_mean_sortino,eval_mean_sharpe,env_mean_log_return_pa,env_mean_return_vol,env_mean_downside_dev,env_mean_sortino,env_mean_sharpe
epsilon0.003_delta0.0001,1,ok,True,0.003,0.0001,0.06442537903785706,-0.093276938899331,0.0793488197571997,0.0559381040970506,0.7253237109425233,0.5113274951147646,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.1204983536288035,0.0642189048191086,0.0428484334799372,2.2689774883007483,1.509773687518289,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
epsilon0.003_delta0.0001,2,ok,True,0.003,0.0001,0.07422520518302918,-0.0929438344392218,0.0901973481459605,0.0581950986295644,0.8662602815553266,0.5589089209408672,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.12182619074265734,0.0558749604338083,0.0319496654442456,3.1044376305187336,1.7578501447163504,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
epsilon0.003_delta0.0001,3,ok,True,0.003,0.0001,0.06184307932853698,-0.1743942335533723,0.0975537812998124,0.0653955908254777,0.5807829704016396,0.3893303261517368,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.15226094842814714,0.0681624667962506,0.041448945329905,3.1237912109696215,1.8896736573861903,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
epsilon0.003_delta0.0001,4,ok,True,0.003,0.0001,0.0679503858089447,-0.1225308014069881,0.1026117721522092,0.066638947014948,0.6619594973436813,0.4298949617992491,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.13947483446958253,0.0655220321724869,0.0387904880465154,3.01979468284182,1.7722178377541664,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
epsilon0.003_delta0.0001,5,ok,True,0.003,0.0001,0.0408860683441162,-0.0854651599463781,0.094321460455184,0.0623972176872304,0.2714887148272665,0.179600065106629,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.1213254002358416,0.0553815988898431,0.031395235038789,3.146549444924748,1.7644669241847917,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
epsilon0.003_delta0.0003,1,ok,True,0.003,0.0003,0.07411551475524902,-0.1152133895652142,0.1012051203554531,0.0671211236647162,0.7494209324298351,0.4970299418238821,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.16598272666656713,0.0676714321414479,0.0416944303024613,3.438456110609146,2.1078764518834743,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
epsilon0.003_delta0.0003,2,ok,True,0.003,0.0003,0.0462172508239746,-0.107352788096615,0.1006041979648051,0.0669705888360551,0.3328709374792918,0.2215868039343307,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.14179706573486328,0.0625417894196367,0.0363472438251876,3.2884601816420926,1.8936837085375011,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
epsilon0.003_delta0.0003,3,ok,True,0.003,0.0003,0.0794659435749054,-0.0995864489834511,0.1020710841679027,0.0660352497773614,0.8430909330909104,0.5454406681926293,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.1595932288135556,0.0669502851468991,0.0388640734296296,3.5256250697228375,2.032520693983254,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
epsilon0.003_delta0.0003,4,ok,True,0.003,0.0003,0.06165841817855834,-0.1261050402563827,0.0744232859098563,0.0497972024709871,0.7589833718277662,0.5078417081019303,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.12652414308177481,0.0484499400118311,0.0291315092733097,3.5675456813074793,2.1301168301306292,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
epsilon0.003_delta0.0003,5,ok,True,0.003,0.0003,0.07419353723526,-0.1432861313336767,0.1120516897499655,0.0736590660136464,0.6839661583512483,0.4496166771024555,0.12280427160357121,-0.2542509661923039,0.1695108896877881,0.1198044634997844,0.8278882784863759,0.5851229453429376,0.17703082064072861,0.0763622831276738,0.0454083963575842,3.3993783364096024,2.0106158836890335,0.10069612118837644,0.1395962450510321,0.0989425748367778,0.7906549361393533,0.5565999630636497
